id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won,match_id,competition_id,season_id,location.x,location.y,player.name.GK,player.id.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,milliseconds,ElapsedTime,StartOfPossession,TimeInPoss,TimeToPossEnd
f0c52445-bb42-49d4-8597-a138828dc944,555,1,12:51.0,12,51,16,Shot,30,169,Bayern Munich,3,From Free Kick,169,Bayern Munich,19290,Hamit Altƒ±ntop,21,Left Wing,96,33,0.4967,0.046331525,105,34,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,,18235,16,21,96,33,J˙lio†CÈsar†Soares†de†EspÌndola,19287,117,39,25,3.162278,73.7398,71.56505,2.174744,18.231096,21.84033,0.929843,0.09805807,3.162278,3.162278,2,5,1,1,77,3.162278,3.162278,28,771.028,728.526,42.502,0.612
966edbca-dc57-40ea-9bbf-af3f1d97f321,624,1,15:34.8,15,34,16,Shot,36,169,Bayern Munich,2,From Corner,169,Bayern Munich,19297,Daniel Van Buyten,3,Right Center Back,110,40,0.2845,0.070251696,111,40,,93,Normal,37,Head,87,Open Play,96,Blocked,,,,,18235,16,21,110,40,J˙lio†CÈsar†Soares†de†EspÌndola,19287,119,40,10,1,90,90,0,3.514938,9,2.2494286,1,1,2,4,6,1,2,18,1,2,765,934.765,929.634,5.131,40.07
f9eaee7e-de55-45d2-8bde-06b9cb94d6d0,666,1,17:43.2,17,43,16,Shot,39,238,Inter Milan,3,From Free Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,81,30,1.1996,0.008091472,120,43.2,1,93,Normal,40,Right Foot,62,Free Kick,100,Saved,,,,,18235,16,21,81,30,Hans-Jˆrg†Butt,19291,119,42,40.26164,2.236068,75.61861,153.43495,77.816343,34.322518,39.849718,0.5729208,0.27331931,10.198039,10.440307,6,10,4,3,125,10.198039,10.440307,170,1063.17,1063.17,0,1.2
1a4e6346-f2d2-4c77-8bee-089731d17a8c,681,1,18:00.5,18,0,16,Shot,40,238,Inter Milan,4,From Throw In,238,Inter Milan,19301,Esteban Mat√≠as Cambiasso Delau,11,Left Defensive Midfield,107,40,0.187,0.06827557,109,40,,95,Volley,40,Right Foot,87,Open Play,96,Blocked,TRUE,,,,18235,16,21,107,40,Hans-Jˆrg†Butt,19291,119,42,13,2.236068,90,153.43495,63.434949,10.695187,12.165525,1.0009321,0.69611614,2,5.09902,3,6,2,3,72,2,5.09902,463,1080.463,1071.315,9.148,3.811
50e30164-0502-43a7-ac09-063262e3af00,886,1,22:22.4,22,22,16,Shot,44,169,Bayern Munich,4,From Throw In,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,104,41,0.77935,0.069696575,120,48.7,6.1,91,Half Volley,38,Left Foot,87,Open Play,98,Off T,TRUE,,,,18235,16,21,104,41,J˙lio†CÈsar†Soares†de†EspÌndola,19287,117,40,16.03122,3,93.57633,90,3.576334,22.783611,13.038405,0.8944272,0.4472136,2.236068,2.236068,1,2,1,1,75,2,2.236068,415,1342.415,1314.649,27.766,0.78
374e326b-0846-41c7-9567-ff5db275f77c,997,1,25:40.7,25,40,16,Shot,50,238,Inter Milan,3,From Free Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,80,33,1.283351,0.005588494,119,40.3,0.8,93,Normal,40,Right Foot,62,Free Kick,100,Saved,,,,,18235,16,21,80,33,Hans-Jˆrg†Butt,19291,120,41,40.60788,1,80.07375,180,99.926246,30.916969,40.792156,0.5335981,0.3025229,9.055385,9.219544,7,10,4,3,50,9.055385,9.219544,723,1540.723,1540.723,0,1.284
67b2f1bd-3bba-433c-8080-526d3c289871,1214,1,31:50.8,31,50,16,Shot,65,169,Bayern Munich,1,Regular Play,169,Bayern Munich,5562,Thomas M√ºller,22,Right Center Forward,91,40,0.8242,0.029827887,119,46.1,6.1,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,,18235,16,21,91,40,J˙lio†CÈsar†Soares†de†EspÌndola,19287,117,40,29,3,90,90,0,34.769184,26,0.8719772,0,3.605551,4.242641,3,7,0,1,34,3.605551,4.242641,776,1910.776,1885.318,25.458,0.824
1cd7cf67-b9d6-49ac-b784-db976284bc9f,1222,1,32:24.8,32,24,16,Shot,66,238,Inter Milan,7,From Goal Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,111,51,2.5351,0.0897631,115,34,,95,Volley,40,Right Foot,87,Open Play,101,Wayward,TRUE,,,,18235,16,21,111,51,Hans-Jˆrg†Butt,19291,119,45,14.21267,5.09902,140.71059,168.69007,27.979474,6.888978,10,0.4347927,0.23570226,4.242641,17.464249,2,5,1,1,63,4.242641,12.806248,766,1944.766,1932.536,12.23,32.427
13810a7a-3159-4157-980d-a9874abe61fe,1287,1,33:59.8,33,59,16,Shot,68,238,Inter Milan,1,Regular Play,238,Inter Milan,19294,Diego Alberto Milito,23,Center Forward,107,46,0.746901,0.3830916,120,40.7,2,93,Normal,40,Right Foot,87,Open Play,97,Goal,,,,,18235,16,21,107,46,Hans-Jˆrg†Butt,19291,114,44,14.31782,7.211103,114.77514,123.69007,8.914927,18.796165,7.28011,1,0,1,-5.385165,0,1,0,2,30,1,2,846,2039.846,2028.357,11.489,0.747
574fe7d4-f034-440f-93a8-8af399366c05,1487,1,40:00.1,40,0,16,Shot,78,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19290,Hamit Altƒ±ntop,21,Left Wing,91,42,1.1442,0.03753288,116,38.5,0.2,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,,18235,16,21,91,42,J˙lio†CÈsar†Soares†de†EspÌndola,19287,116,41,29.06888,4.123106,93.94519,104.03624,10.091057,22.062411,25.019992,0.9795345,0,1.414214,8.944272,2,5,0,1,396,1.414214,8.062258,138,2400.138,2370.95,29.188,1.145
