id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won
0298fa13-0700-4d34-ba61-5277ed55c7c4,1515,1,40:46.2,40,46,16,Shot,81,169,Bayern Munich,1,Regular Play,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,91,50,1.3186,0.01996498,120,34.4,5.4,93,Normal,38,Left Foot,87,Open Play,98,Off T,,,,
f602d17b-045c-46b4-b8e4-aa8a3865f503,1588,1,42:24.3,42,24,16,Shot,84,238,Inter Milan,6,From Counter,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,106,35,0.3964,0.17239982,117,38.7,1.2,93,Normal,38,Left Foot,87,Open Play,100,Saved,TRUE,,,
196b154f-2e53-47ec-8ddc-b738e4d5fee2,1687,1,44:15.1,44,15,16,Shot,87,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19289,Ivica Olić,24,Left Center Forward,95,21,1.1707,0.00867654,120,32.5,4.7,93,Normal,38,Left Foot,87,Open Play,98,Off T,,,,
e99e2a90-f939-45cc-80f9-7be5d0bcf86b,1720,1,45:14.6,45,14,16,Shot,89,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19296,Mark van Bommel,9,Right Defensive Midfield,89,49,0.4406,0.01700997,92,48,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
0b7471e0-f1c6-4eeb-bd0a-858d82624e54,1756,1,45:56.6,45,56,16,Shot,89,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19296,Mark van Bommel,9,Right Defensive Midfield,94,48,1.2826,0.036953866,120,33.9,0.2,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
be4fb0d9-130d-4412-bcdd-88313049cbc2,1784,2,00:17.4,45,17,16,Shot,90,169,Bayern Munich,9,From Kick Off,169,Bayern Munich,5562,Thomas Müller,22,Right Center Forward,107,45,0.3554,0.18862773,116,39.7,0.4,93,Normal,40,Right Foot,87,Open Play,100,Saved,TRUE,,,
40bb4712-0865-4590-a59f-69e9707958d1,1789,2,00:21.8,45,21,16,Shot,90,169,Bayern Munich,9,From Kick Off,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,113,62,0.443151,0.005745546,114,59,,93,Normal,38,Left Foot,87,Open Play,96,Blocked,,,,
98f04be6-52e9-4a31-a014-1db56e6ea007,1873,2,01:45.8,46,45,16,Shot,92,238,Inter Milan,1,Regular Play,238,Inter Milan,7146,Goran Pandev,21,Left Wing,105,32,0.6886,0.08949893,117,38.3,2,93,Normal,38,Left Foot,87,Open Play,100,Saved,TRUE,,,
0fa9a30d-2f7a-4a80-ba52-fdd240159c60,2050,2,06:49.3,51,49,16,Shot,103,169,Bayern Munich,7,From Goal Kick,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,97,41,0.3109,0.05739926,101,41,,93,Normal,38,Left Foot,87,Open Play,96,Blocked,,,,
a33742c1-0cc1-4e31-bee8-3db481ab6a73,2070,2,08:04.2,53,4,16,Shot,105,238,Inter Milan,3,From Free Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,92,46,0.956187,0.053999748,120,42.8,4,93,Normal,40,Right Foot,62,Free Kick,98,Off T,,,,
00852696-33bd-4784-83c2-d1e60a0eb7b9,2111,2,08:52.1,53,52,16,Shot,106,169,Bayern Munich,7,From Goal Kick,169,Bayern Munich,19290,Hamit Altıntop,21,Left Wing,106,27,0.7751,0.052042354,120,35.2,0.3,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
